Date,Clicks
2021-09-03,140
2021-09-04,97
2021-09-05,135
2021-09-06,213
2021-09-07,216
2021-09-08,185
2021-09-09,179
2021-09-10,160
2021-09-11,84
2021-09-12,132
2021-09-13,233
2021-09-14,184
2021-09-15,210
2021-09-16,188
2021-09-17,180
2021-09-18,119
2021-09-19,126
2021-09-20,241
2021-09-21,182
2021-09-22,224
2021-09-23,244
2021-09-24,166
2021-09-25,99
2021-09-26,131
2021-09-27,208
2021-09-28,214
2021-09-29,205
2021-09-30,213
2021-10-01,116
2021-10-02,112
2021-10-03,154
2021-10-04,226
2021-10-05,194
2021-10-06,220
2021-10-07,229
2021-10-08,192
2021-10-09,96
2021-10-10,150
2021-10-11,252
2021-10-12,234
2021-10-13,246
2021-10-14,208
2021-10-15,191
2021-10-16,130
2021-10-17,144
2021-10-18,218
2021-10-19,218
2021-10-20,214
2021-10-21,220
2021-10-22,174
2021-10-23,116
2021-10-24,169
2021-10-25,248
2021-10-26,241
2021-10-27,248
2021-10-28,214
2021-10-29,166
2021-10-30,121
2021-10-31,132
2021-11-01,225
2021-11-02,191
2021-11-03,182
2021-11-04,145
2021-11-05,107
2021-11-06,119
2021-11-07,179
2021-11-08,219
2021-11-09,255
2021-11-10,242
2021-11-11,233
2021-11-12,167
2021-11-13,136
2021-11-14,149
2021-11-15,232
2021-11-16,202
2021-11-17,224
2021-11-18,203
2021-11-19,151
2021-11-20,108
2021-11-21,182
2021-11-22,217
2021-11-23,217
2021-11-24,195
2021-11-25,214
2021-11-26,157
2021-11-27,133
2021-11-28,129
2021-11-29,227
2021-11-30,204
2021-12-01,196
2021-12-02,218
2021-12-03,145
2021-12-04,100
2021-12-05,160
2021-12-06,223
2021-12-07,205
2021-12-08,199
2021-12-09,201
2021-12-10,136
2021-12-11,102
2021-12-12,140
2021-12-13,210
2021-12-14,201
2021-12-15,181
2021-12-16,173
2021-12-17,172
2021-12-18,111
2021-12-19,141
2021-12-20,192
2021-12-21,171
2021-12-22,178
2021-12-23,174
2021-12-24,137
2021-12-25,94
2021-12-26,107
2021-12-27,145
2021-12-28,123
2021-12-29,129
2021-12-30,98
2021-12-31,40
2022-01-01,69
2022-01-02,95
2022-01-03,124
2022-01-04,106
2022-01-05,107
2022-01-06,103
2022-01-07,106
2022-01-08,123
2022-01-09,141
2022-01-10,205
2022-01-11,211
2022-01-12,228
2022-01-13,218
2022-01-14,193
2022-01-15,137
2022-01-16,153
2022-01-17,233
2022-01-18,222
2022-01-19,186
2022-01-20,246
2022-01-21,170
2022-01-22,138
2022-01-23,172
2022-01-24,253
2022-01-25,216
2022-01-26,240
2022-01-27,220
2022-01-28,160
2022-01-29,139
2022-01-30,159
2022-01-31,214
2022-02-01,224
2022-02-02,187
2022-02-03,192
2022-02-04,168
2022-02-05,110
2022-02-06,162
2022-02-07,183
2022-02-08,187
2022-02-09,176
2022-02-10,204
2022-02-11,161
2022-02-12,106
2022-02-13,140
2022-02-14,200
2022-02-15,183
2022-02-16,242
2022-02-17,199
2022-02-18,122
2022-02-19,142
2022-02-20,196
2022-02-21,188
2022-02-22,186
2022-02-23,155
2022-02-24,117
2022-02-25,92
2022-02-26,93
2022-02-27,110
2022-02-28,141
2022-03-01,156
2022-03-02,150
2022-03-03,135
2022-03-04,104
2022-03-05,113
2022-03-06,101
2022-03-07,108
2022-03-08,97
2022-03-09,196
2022-03-10,198
2022-03-11,150
2022-03-12,115
2022-03-13,112
2022-03-14,192
2022-03-15,166
2022-03-16,199
2022-03-17,186
2022-03-18,178
2022-03-19,106
2022-03-20,149
2022-03-21,199
2022-03-22,197
2022-03-23,177
2022-03-24,212
2022-03-25,177
2022-03-26,108
2022-03-27,150
2022-03-28,198
2022-03-29,223
2022-03-30,213
2022-03-31,218
2022-04-01,146
2022-04-02,112
2022-04-03,123
2022-04-04,193
2022-04-05,205
2022-04-06,224
2022-04-07,199
2022-04-08,154
2022-04-09,119
2022-04-10,108
2022-04-11,191
2022-04-12,193
2022-04-13,201
2022-04-14,214
2022-04-15,137
2022-04-16,100
2022-04-17,157
2022-04-18,204
2022-04-19,197
2022-04-20,191
2022-04-21,196
2022-04-22,139
2022-04-23,97
2022-04-24,130
2022-04-25,184
2022-04-26,206
2022-04-27,194
2022-04-28,179
2022-04-29,145
2022-04-30,95
2022-05-01,77
2022-05-02,119
2022-05-03,124
2022-05-04,178
2022-05-05,158
2022-05-06,128
2022-05-07,80
2022-05-08,88
2022-05-09,100
2022-05-10,107
2022-05-11,176
2022-05-12,223
2022-05-13,148
2022-05-14,98
2022-05-15,143
2022-05-16,200
2022-05-17,201
2022-05-18,166
2022-05-19,187
2022-05-20,171
2022-05-21,130
2022-05-22,158
2022-05-23,193
2022-05-24,198
2022-05-25,197
2022-05-26,215
2022-05-27,168
2022-05-28,117
2022-05-29,159
2022-05-30,227
2022-05-31,199
2022-06-01,180
2022-06-02,211
2022-06-03,163
2022-06-04,113
2022-06-05,135
2022-06-06,235
2022-06-07,241
2022-06-08,261
2022-06-09,216
2022-06-10,197
2022-06-11,119
2022-06-12,134
2022-06-13,165
2022-06-14,231
2022-06-15,230
2022-06-16,265
2022-06-17,184
2022-06-18,114
2022-06-19,154
2022-06-20,266
2022-06-21,269
2022-06-22,236
2022-06-23,225
2022-06-24,168
2022-06-25,99
2022-06-26,135
2022-06-27,202
2022-06-28,226
2022-06-29,240
2022-06-30,209
2022-07-01,144
2022-07-02,109
2022-07-03,124
2022-07-04,188
2022-07-05,214
2022-07-06,219
2022-07-07,237
2022-07-08,166
2022-07-09,95
2022-07-10,142
2022-07-11,238
2022-07-12,230
2022-07-13,213
2022-07-14,200
2022-07-15,177
2022-07-16,112
2022-07-17,131
2022-07-18,226
2022-07-19,246
2022-07-20,250
2022-07-21,207
2022-07-22,172
2022-07-23,112
2022-07-24,147
2022-07-25,239
2022-07-26,239
2022-07-27,249
2022-07-28,228
2022-07-29,160
2022-07-30,121
2022-07-31,155
2022-08-01,246
2022-08-02,225
2022-08-03,249
2022-08-04,244
2022-08-05,193
2022-08-06,112
2022-08-07,158
2022-08-08,270
2022-08-09,258
2022-08-10,236
2022-08-11,237
2022-08-12,179
2022-08-13,98
2022-08-14,178
2022-08-15,272
2022-08-16,252
2022-08-17,261
2022-08-18,247
2022-08-19,181
2022-08-20,133
2022-08-21,167
2022-08-22,250
2022-08-23,289
2022-08-24,224
2022-08-25,244
2022-08-26,202
2022-08-27,143
2022-08-28,152
2022-08-29,278
2022-08-30,233
2022-08-31,219
2022-09-01,213
2022-09-02,258
2022-09-03,209
2022-09-04,206
2022-09-05,234
2022-09-06,268
2022-09-07,286
2022-09-08,294
2022-09-09,199
2022-09-10,138
2022-09-11,165
2022-09-12,256
2022-09-13,278
2022-09-14,293
2022-09-15,278
2022-09-16,223
2022-09-17,140
2022-09-18,184
2022-09-19,309
2022-09-20,282
2022-09-21,212
2022-09-22,236
2022-09-23,178
2022-09-24,136
2022-09-25,148
2022-09-26,232
2022-09-27,223
2022-09-28,227
2022-09-29,213
2022-09-30,179
2022-10-01,147
2022-10-02,175
2022-10-03,261
2022-10-04,267
2022-10-05,273
2022-10-06,254
2022-10-07,191
2022-10-08,139
2022-10-09,179
2022-10-10,270
2022-10-11,258
2022-10-12,297
2022-10-13,265
2022-10-14,228
2022-10-15,139
2022-10-16,185
2022-10-17,293
2022-10-18,326
2022-10-19,288
2022-10-20,283
2022-10-21,230
2022-10-22,138
2022-10-23,202
2022-10-24,287
2022-10-25,310
2022-10-26,316
2022-10-27,302
2022-10-28,241
2022-10-29,171
2022-10-30,210
2022-10-31,313
2022-11-01,314
2022-11-02,309
2022-11-03,251
2022-11-04,152
2022-11-05,160
2022-11-06,232
2022-11-07,333
2022-11-08,338
2022-11-09,307
2022-11-10,295
2022-11-11,237
2022-11-12,166
2022-11-13,241
2022-11-14,335
2022-11-15,335
2022-11-16,325
2022-11-17,318
2022-11-18,247
2022-11-19,183
2022-11-20,262
2022-11-21,346
2022-11-22,328
2022-11-23,330
2022-11-24,324
2022-11-25,254
2022-11-26,181
2022-11-27,238
2022-11-28,325
2022-11-29,332
2022-11-30,281
2022-12-01,307
2022-12-02,256
2022-12-03,198
2022-12-04,333
2022-12-05,324
2022-12-06,273
2022-12-07,296
2022-12-08,293
2022-12-09,209
2022-12-10,195
2022-12-11,261
2022-12-12,307
2022-12-13,286
2022-12-14,295
2022-12-15,254
2022-12-16,227
2022-12-17,174
2022-12-18,230
2022-12-19,288
2022-12-20,358
2022-12-21,270
2022-12-22,289
2022-12-23,205
2022-12-24,142
2022-12-25,161
2022-12-26,238
2022-12-27,274
2022-12-28,203
2022-12-29,190
2022-12-30,133
2022-12-31,77
2023-01-01,93
2023-01-02,118